vid,formula,reduced_formula,seed_jid,seed_delta_n,n_mean,n_std,n_ci_lo,n_ci_hi,n_ci_half,eg_mean,eg_std,eg_ci_lo,eg_ci_hi,eg_ci_half,score,passes_gate
VIRT-00069,Rb1 Be2 Cl5,RbBe2Cl5,JVASP-52863,0.3493372397045284,1.6258148352305095,0.050610531675884626,1.3151558352305095,1.9364738352305095,0.310659,5.046407063802083,0.19589553580798055,4.013498063802083,6.079316063802083,1.032909,-0.05160435509763763,False
VIRT-00097,K2 Ga2 F8,KGaF4,JVASP-57703,0.3472936067572811,1.343254566192627,0.013041021682308484,1.032595566192627,1.653913566192627,0.310659,5.565646171569824,0.10498690481039964,4.532737171569824,6.598555171569824,1.032909,-0.05691728205164172,False
VIRT-00084,Yb2 Al8 O14,YbAl4O7,JVASP-52497,0.6977851711533998,1.6576637029647827,0.027230987005618875,1.3470047029647827,1.9683227029647827,0.310659,4.781753063201904,0.12169564275311409,3.748844063201904,5.814662063201904,1.032909,-0.08581497331272203,False
VIRT-00042,Li1 V3 S8,LiV3S8,JVASP-48321,1.7815871816699476,3.41479500134786,0.06488498422181184,3.10413600134786,3.7254540013478596,0.310659,0.8007636864980062,0.14172995403244518,-0.23214531350199386,1.8336726864980064,1.032909,-0.09926633405772005,False
VIRT-00033,Tl2 Cu2 Ge1 Te4,Tl2Cu2GeTe4,JVASP-110967,1.5710892701609915,3.6466790040334067,0.11066840469252254,3.336020004033407,3.9573380040334065,0.310659,0.25174522399902344,0.11354264147492278,-0.7811637760009766,1.2846542239990235,1.032909,-0.11904170087275016,False
VIRT-00034,Tl2 Cu2 Te4 Pb1,Tl2Cu2Te4Pb,JVASP-110967,1.5710892701609915,3.5788867473602295,0.1022632005460522,3.2682277473602293,3.8895457473602297,0.310659,0.38931095600128174,0.11600022932354269,-0.6435980439987183,1.4222199560012818,1.032909,-0.12102671627802686,False
VIRT-00098,K2 In2 F8,KInF4,JVASP-57703,0.3472936067572811,1.3445117473602295,0.012181922770704385,1.0338527473602295,1.6551707473602295,0.310659,5.349948724110921,0.1971367132924867,4.317039724110921,6.382857724110921,1.032909,-0.13583260731581567,False
VIRT-00049,Ni1 P2 Se6,Ni(PSe3)2,JVASP-30317,1.5649219871564282,3.4303770860036216,0.09118112615383873,3.1197180860036218,3.7410360860036214,0.310659,0.7381989558537801,0.320858623505362,-0.29471004414621993,1.7711079558537803,1.032909,-0.1496648613665304,False
VIRT-00080,Rb2 In2 F8,RbInF4,JVASP-57785,0.3947002887570081,1.3571829001108806,0.01159990096510275,1.0465239001108806,1.6678419001108806,0.310659,5.271543979644775,0.20835934088716596,4.238634979644775,6.3044529796447755,1.032909,-0.15224108253434424,False
VIRT-00035,Ga2 Cu2 Sn1 Te4,Ga2Cu2SnTe4,JVASP-110967,1.5710892701609915,3.569676240285238,0.06929932618520744,3.259017240285238,3.8803352402852376,0.310659,0.2230823040008545,0.10443654427567867,-0.8098266959991456,1.2559913040008546,1.032909,-0.1610056607167645,False
VIRT-00082,Rb2 Al2 Cl8,RbAlCl4,JVASP-57785,0.3947002887570081,1.7323238054911296,0.06965719772137217,1.4216648054911296,2.0429828054911296,0.310659,4.482200940450032,0.26843297314575426,3.449291940450032,5.515109940450032,1.032909,-0.16729057781642026,False
VIRT-00099,K2 Al2 Cl8,KAlCl4,JVASP-57703,0.3472936067572811,1.769851843516032,0.09646997410999061,1.459192843516032,2.080510843516032,0.310659,4.470953782399495,0.3387591352408036,3.438044782399495,5.503862782399495,1.032909,-0.1686646907158537,False
VIRT-00036,In2 Cu2 Sn1 Te4,In2Cu2SnTe4,JVASP-110967,1.5710892701609915,3.5867993036905923,0.11737391318796976,3.2761403036905925,3.897458303690592,0.310659,0.15232062339782715,0.08522410611378413,-0.8805883766021729,1.1852296233978272,1.032909,-0.1864021549905013,False
VIRT-00031,Tl8 Sn2 Se6,Tl4SnSe3,JVASP-9377,1.7585908665133596,3.5415488878885903,0.3280930976079759,3.2308898878885906,3.85220788788859,0.310659,0.5333898862202963,0.1536431494304539,-0.4995191137797038,1.5662988862202964,1.032909,-0.20138988575297326,False
VIRT-00018,Pt4 N8,PtN2,JVASP-9126,2.4968672575028856,3.296666383743286,0.0797970152176057,2.986007383743286,3.6073253837432864,0.310659,0.7667994896570841,0.22150373529614917,-0.26610951034291597,1.799708489657084,1.032909,-0.2089485860722471,False
VIRT-00032,Tl2 Cu2 Si1 Te4,Tl2Cu2SiTe4,JVASP-110967,1.5710892701609915,3.438333034515381,0.11933648402547176,3.1276740345153806,3.748992034515381,0.310659,0.4052606423695882,0.13251384137623115,-0.6276483576304119,1.4381696423695882,1.032909,-0.22069258470752773,False
VIRT-00076,Te6 Mo6 O6,TeMoO,JVASP-34014,1.3674148665729846,3.3993283907572427,0.13224939728062896,3.088669390757243,3.7099873907572425,0.310659,0.5145416259765625,0.1432161615498244,-0.5183673740234376,1.5474506259765626,1.032909,-0.2217392596365017,False
VIRT-00091,Li8 Mg4 C4,Li2MgC,JVASP-153312,1.2562606627863446,3.1589667002360025,0.053573082913123654,2.8483077002360027,3.4696257002360023,0.310659,1.0314079920450847,0.29793928861590674,-0.0015010079549153676,2.064316992045085,1.032909,-0.2263380049165939,False
VIRT-00055,V4 Se7 F5,V4Se7F5,JVASP-42554,1.4496301632164998,3.4541807969411216,0.2197556277290341,3.1435217969411218,3.7648397969411214,0.310659,0.44212814172108966,0.08683934763173992,-0.5907808582789105,1.4750371417210897,1.032909,-0.2315661616542924,False
